pyr_no,Ratio_AAC_on_PYR,Ratio_BC_on_PYR,Ratio_BiC_on_PYR,Ratio_AAC_BC_on_PYR,Ratio_BiC_BC_on_PYR,Ratio_AAC_BiC_BC_on_PYR,All_ipsc_onto_PYR
1,2.07577580146177,2.36851625282316,3.71289671663703,1.64785582786772,1.67954419732314,1.33851248957795,0.901734952183643
2,1.02378151345851,1.92703130493954,3.77948925332323,0.792089927847545,1.39667096389518,0.730766093354893,0.538229465302276
3,1.2523110250861,1.84534056089247,3.83988528074367,0.97968239326439,1.46138714218033,0.905261189961168,0.710667900976297
4,1.09114517332805,2.08986003621249,3.4372250066451,0.916975893487159,1.45950570580361,0.793368544852409,0.556349485328832
5,0.97527989340543,2.33795454551934,3.33557790911136,0.814515236824021,1.66427801360322,0.721298108033376,0.568018479755089
6,1.3101122197713,1.95595926736607,4.5209220086502,0.906376214101266,1.46039087195794,0.810143540833651,0.599231796721535
7,1.17982240187191,1.75029869855856,3.21484497610005,0.828750730780029,1.277152036157,0.741576672160214,0.565729314286388
8,1.87052128802056,1.92650884374039,3.95078867607718,1.17204602954577,1.45177418660115,1.01093997245655,0.779984782373409
9,1.29493124093591,1.40528646806974,3.0985790153465,0.878905047727955,1.06182077468679,0.764457201766095,0.610042546592281
10,1.3059098514526,1.45235167973601,2.94372070088291,0.851978872147452,1.03099217142162,0.723378028919827,0.552000634345663
11,1.5707577704835,2.46084253390375,3.1522827612949,1.20585397003317,1.59889508793751,0.9917696059464,0.729839605044801
12,1.21656852255231,2.50803293268211,3.23031355738295,1.09595226309577,1.99693919847276,0.923304491339174,0.704449638601056
13,1.61075252504772,2.97524984726772,4.21218012992214,1.33188538869143,2.12717550070202,1.1482168500757,0.773776292347287
14,2.14005302733437,2.14278329296444,5.10603171884857,1.41713136348839,1.59780875396094,1.24730973320492,0.912488650233228
15,1.34201949085337,1.24785831735893,2.56463005664403,0.710583669969796,0.896699191325233,0.576749908595863,0.454425501341756
